direction,arm,start_12,end_12,start_22,end_22,start_23,end_23,start_24,end_24,start_25,end_25,start_26,end_26,start_27,end_27,start_28,end_28
up,right,0.2623472213745117,0.2678780853748321,-0.6434810161590576,-0.7253572344779968,0.0473145209252834,0.0973965972661972,0.0615749508142471,-0.0529822595417499,0.5986839532852173,-0.4627948403358459,0.1061922162771225,0.2221875339746475,-0.0854273959994316,-0.113284483551979,0.0106304874643683,0.0949687585234642
right,right,0.2680923640727997,0.2678379118442535,-0.6441041827201843,-0.2295099049806594,0.1205740869045257,-0.4247081577777862,0.0327528864145278,-0.8088752627372742,-0.4925875961780548,0.0239085294306278,0.2254352569580078,0.7594044208526611,-0.2173113971948623,-0.357195109128952,0.0982207953929901,-0.0632153525948524
up,right,0.2682530581951141,0.1590957194566726,-0.2311037927865982,-0.6660113334655762,-0.3162868618965149,-0.562311053276062,-0.7916060090065002,-0.5727980136871338,-0.0517718531191349,-0.324868381023407,0.7527890801429749,0.6270626187324524,-0.339623361825943,-0.3182780146598816,0.1344150751829147,0.1432738155126571
forward,right,0.1591760665178299,0.3761917352676391,-0.6427619457244873,-0.7611660957336426,-0.4477538466453552,-0.7811909317970276,-0.5618923902511597,-0.6141555905342102,-0.3299376964569092,0.7177232503890991,0.6171756386756897,0.185252159833908,-0.318508118391037,-0.0599403008818626,0.1450608968734741,0.0598482638597488
up,right,0.3767809867858886,0.3808119595050812,-0.7523936033248901,-0.8414843678474426,-0.6227474808692932,-0.678426206111908,-0.5931112766265869,-0.6045802235603333,0.6653881669044495,-0.1285667717456817,0.1850723922252655,0.1945399343967437,-0.1637447923421859,-0.6433592438697815,0.1370228379964828,0.2177869379520416
right,right,0.3809190690517425,0.1037871912121772,-0.8405495882034302,-0.3701687455177307,-0.6031413078308105,-0.6206262707710266,-0.5977731347084045,-0.9178478717803956,-0.1344630122184753,-0.0124156577512621,0.1949713677167892,0.7744805812835693,-0.6431828141212463,-0.1427369266748428,0.2178713083267212,0.1545945852994918
down,right,0.1038273647427558,0.1040952056646347,-0.370480328798294,-0.1360569149255752,-0.6033090949058533,-0.1299082040786743,-0.9099262952804564,-0.794542133808136,-0.0260417219251394,0.9293287396430968,0.7741929292678833,-0.0810732841491699,-0.1426525563001632,0.0023700003512203,0.1555149853229522,0.0184231102466583
left,right,0.104242518544197,0.1282541900873184,-0.1470104902982711,-0.4033770263195038,-0.0969515889883041,0.1297300457954406,-0.7900840044021606,0.9361717104911804,0.9285497665405272,0.5621080994606018,-0.0830506831407547,0.1848926246166229,0.0022856316063553,-0.2145809084177017,0.0184077695012092,-0.0090428171679377
right,right,0.1282675713300705,0.1277452856302261,-0.3853287994861603,-0.0986421555280685,0.1164155602455139,-0.227807343006134,0.9375139474868774,-0.8795942068099976,0.565751314163208,0.5768846273422241,0.1846888959407806,-0.099624864757061,-0.2144198417663574,-0.1918319761753082,-0.0090274773538112,-0.0789770036935806
back,right,0.1278122514486313,0.125415101647377,-0.0995889082551002,0.5111032128334045,-0.1836454719305038,0.006676010787487,-0.8759509921073914,-0.6759462356567383,0.5761416554450989,-0.0101266698911786,-0.0996128767728805,0.300995796918869,-0.1930284798145294,-0.4788167774677276,-0.0789846777915954,0.2612676322460174
left,right,0.125602588057518,0.1332091838121414,0.4703089296817779,-0.117385484278202,0.0083178505301475,0.0027931220829486,-0.6696425676345825,0.965425193309784,-0.0078376829624176,0.2219358682632446,0.2998333275318146,0.1863906532526016,-0.4786787331104278,-0.3096570372581482,0.2612906396389007,0.1208316758275032
up,right,0.1332761496305465,0.1331690102815628,-0.1159473806619644,-0.2725811898708343,0.0050221905112266,0.0951555520296096,0.9752283096313475,0.6497607231140137,0.300995796918869,-0.6202435493469238,0.1843533366918563,0.1843053996562957,-0.3002460896968841,-0.2201569378376007,0.1261545866727829,0.1135836169123649
down,right,0.1332895308732986,0.1335038095712661,-0.2253393828868866,-0.0332562252879142,0.0531388521194458,0.0527194067835807,0.7829773426055908,0.7397502660751343,-0.6478432416915894,0.9725438356399536,0.1855877190828323,-0.051232561469078,-0.3574558794498443,-0.1087515726685524,0.1582608073949813,0.1234010905027389
up,right,0.1335305869579315,0.1331020444631576,-0.0279711820185184,-0.3378353118896484,0.053869891911745,0.1335769742727279,0.7412363290786743,0.4528838694095611,0.9752522706985474,-0.4377478063106537,-0.0518317744135856,-0.0493510402739048,-0.0674184560775756,-0.4366399943828583,0.1225497350096702,-0.1151022538542747
left,right,0.1332627534866333,0.1337046921253204,-0.2293421179056167,-0.3042435348033905,0.0944364964962005,0.0550563298165798,0.5393860340118408,1.0408300161361694,-0.4607934653759002,-0.1770549416542053,0.0025286716409027,-0.0090001532807946,-0.615824282169342,-0.5850449800491333,-0.1166669130325317,0.0598099157214164
up,right,0.1334636360406875,0.1383516788482666,-0.2324700057506561,-0.8128181099891663,0.002169944345951,0.1216406822204589,1.0125471353530884,0.6616370677947998,-0.1689416170120239,-0.2314753085374832,0.0673992857336998,1.2039473056793213,-0.6430677771568298,-0.3002077341079712,0.0633917599916458,0.3849218189716339
right,right,0.1381775736808776,0.1376686841249466,-0.7313133478164673,-0.2967413961887359,0.121568776667118,-0.2923423945903778,0.6662150621414185,-0.803434431552887,-0.3472668826580047,-0.0925421863794326,1.2038992643356323,1.9874998331069944,-0.2996554970741272,-0.2465644180774688,0.3875449299812317,0.3345688879489898
forward,right,0.1377624273300171,0.1598456650972366,-0.2904856503009796,-0.774732232093811,-0.1916988641023636,-0.4088650047779083,-0.7897604703903198,-0.404815137386322,-0.0941720455884933,0.3652671873569488,1.793115735054016,1.5596270561218262,-0.193074494600296,0.015370488166809,0.3349293768405914,0.1342616826295852
left,right,0.1601001173257827,0.3138256967067718,-0.7683925628662109,-0.7309898138046265,-0.3400156497955322,0.1219283044338226,-0.3975766599178314,0.6143233776092529,0.2934217751026153,-0.0354014001786708,1.55933940410614,1.6765092611312866,0.0162678677588701,-0.0490720495581626,0.1980445981025695,0.0422535017132759
